cuadrante_id,cluster_kmeans
0.0,2
1.0,2
10.0,0
100.0,3
101.0,3
102.0,3
103.0,2
104.0,3
105.0,1
106.0,3
107.0,3
108.0,2
109.0,2
11.0,0
110.0,2
111.0,3
112.0,2
113.0,2
114.0,2
115.0,0
116.0,2
117.0,0
118.0,3
119.0,3
12.0,2
120.0,3
121.0,3
122.0,1
123.0,0
124.0,1
125.0,3
126.0,3
127.0,3
128.0,2
129.0,0
13.0,2
130.0,3
131.0,3
132.0,3
133.0,3
134.0,2
135.0,2
136.0,0
137.0,3
138.0,3
139.0,3
14.0,2
140.0,1
141.0,3
142.0,3
143.0,3
144.0,1
145.0,2
146.0,1
147.0,1
148.0,3
149.0,3
15.0,2
150.0,1
151.0,1
152.0,1
153.0,3
154.0,1
155.0,1
156.0,2
157.0,3
158.0,1
159.0,1
16.0,2
160.0,3
161.0,2
162.0,2
163.0,0
164.0,2
165.0,1
166.0,1
167.0,3
168.0,3
169.0,3
17.0,3
170.0,2
171.0,0
172.0,3
173.0,3
174.0,0
175.0,0
176.0,0
177.0,2
178.0,0
179.0,1
18.0,3
180.0,3
181.0,3
182.0,3
183.0,3
184.0,3
185.0,0
186.0,1
187.0,2
188.0,2
189.0,3
19.0,2
190.0,3
191.0,0
192.0,2
193.0,0
194.0,3
195.0,0
196.0,3
197.0,3
198.0,3
199.0,3
2.0,0
20.0,1
200.0,0
201.0,3
202.0,3
203.0,2
204.0,3
205.0,2
206.0,3
207.0,3
208.0,3
209.0,3
21.0,2
210.0,1
211.0,3
212.0,3
213.0,3
214.0,3
215.0,3
216.0,3
217.0,2
218.0,2
219.0,3
22.0,2
220.0,1
221.0,3
222.0,3
223.0,1
224.0,1
225.0,3
226.0,3
227.0,1
228.0,1
229.0,3
23.0,3
230.0,0
231.0,1
232.0,1
233.0,1
234.0,3
235.0,3
236.0,3
237.0,1
238.0,0
239.0,0
24.0,3
240.0,2
241.0,3
242.0,0
243.0,1
244.0,1
245.0,1
246.0,1
247.0,1
248.0,3
249.0,3
25.0,3
250.0,1
251.0,3
252.0,1
253.0,3
254.0,1
255.0,3
256.0,1
257.0,0
258.0,0
259.0,2
26.0,1
260.0,3
261.0,1
262.0,3
263.0,2
264.0,0
265.0,1
266.0,3
267.0,3
268.0,3
269.0,1
27.0,1
270.0,3
271.0,1
272.0,1
273.0,3
274.0,1
275.0,1
276.0,1
277.0,3
278.0,1
279.0,2
28.0,1
280.0,1
281.0,1
282.0,2
283.0,2
284.0,1
285.0,3
286.0,1
287.0,0
288.0,3
289.0,0
29.0,1
290.0,3
291.0,0
292.0,2
293.0,2
294.0,0
295.0,3
296.0,3
297.0,2
298.0,2
299.0,2
3.0,2
30.0,1
300.0,2
301.0,2
302.0,0
303.0,1
304.0,0
305.0,2
306.0,0
307.0,2
308.0,2
309.0,0
31.0,3
310.0,1
311.0,3
312.0,3
313.0,3
314.0,3
315.0,3
316.0,3
317.0,3
318.0,2
319.0,1
32.0,3
320.0,1
321.0,3
322.0,1
323.0,3
324.0,3
325.0,3
326.0,3
327.0,0
328.0,3
329.0,1
33.0,3
330.0,2
331.0,2
332.0,2
333.0,1
334.0,3
335.0,3
336.0,1
337.0,1
338.0,1
339.0,1
34.0,0
340.0,3
341.0,3
342.0,1
343.0,3
344.0,3
345.0,0
346.0,0
347.0,0
348.0,1
