fecha_hecho,anio_hecho_i,mes_hecho_num,dia_semana,hora_hecho_h,mes_hecho_num_sin,mes_hecho_num_cos,hora_hecho_h_sin,hora_hecho_h_cos,latitud,longitud,alcaldia_hecho,colonia_catalogo,categoria_delito
2018-02-05,2018.0,2.0,LUNES,12.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,19.50377,-99.13243,GUSTAVO A. MADERO,San Jose Ticoman,DELITO DE BAJO IMPACTO
2022-09-06,2022.0,9.0,MARTES,12.0,-0.8660254037844384,-0.5000000000000004,1.2246467991473532e-16,-1.0,19.374718561059,-99.0889942604102,IZTAPALAPA,Central De Abasto,DELITO DE BAJO IMPACTO
2020-05-12,2020.0,5.0,MARTES,12.0,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,19.38281,-99.21927,ALVARO OBREGON,Desarrollo Urbano,DELITO DE BAJO IMPACTO
2017-08-03,2017.0,8.0,JUEVES,19.0,-0.5000000000000001,-0.8660254037844386,-0.9659258262890684,0.2588190451025203,19.3765,-99.05928,IZTAPALAPA,Chinampac De Juarez,DELITO DE BAJO IMPACTO
2016-07-14,2016.0,7.0,JUEVES,17.0,1.2246467991473532e-16,-1.0,-0.9659258262890683,-0.25881904510252063,19.31727,-99.12445,COYOACAN,Los Cipreses,DELITO DE BAJO IMPACTO
2020-11-15,2020.0,11.0,DOMINGO,11.0,-0.8660254037844386,0.5000000000000001,0.258819045102521,-0.9659258262890682,19.48254,-99.18144,AZCAPOTZALCO,San Sebastian,DELITO DE BAJO IMPACTO
2020-07-23,2020.0,7.0,JUEVES,13.0,1.2246467991473532e-16,-1.0,-0.25881904510252035,-0.9659258262890684,19.3615276276993,-99.1411181324075,BENITO JUAREZ,Miravalle,DELITO DE BAJO IMPACTO
2024-02-12,2024.0,2.0,LUNES,6.0,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,19.4792110298335,-99.1463399499999,GUSTAVO A. MADERO,Magdalena De Las Salinas,DELITO DE BAJO IMPACTO
2022-08-11,2022.0,8.0,JUEVES,17.0,-0.5000000000000001,-0.8660254037844386,-0.9659258262890683,-0.25881904510252063,19.4449995899495,-99.1212442499444,VENUSTIANO CARRANZA,Morelos,HECHO NO DELICTIVO
2018-01-12,2018.0,1.0,VIERNES,21.0,0.0,1.0,-0.7071067811865477,0.7071067811865474,19.32944,-99.03897,IZTAPALAPA,Desarrollo Urbano Quetzalcoatl,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA
2016-11-04,2016.0,11.0,VIERNES,23.0,-0.8660254037844386,0.5000000000000001,-0.2588190451025207,0.9659258262890683,19.281276411262,-99.1961575464788,TLALPAN,Miguel Hidalgo 2a Seccion,DELITO DE BAJO IMPACTO
